emiten,date,buy_price,take_profit,cut_loss
DGIK,29/12/2022,123,129,117
ADMR,03/01/2023,1725,1770,1680
MYOR,04/01/2023,2620,2700,2540
DGIK,29/12/2022,123,129,117
ADMR,03/01/2023,1725,1770,1680
MYOR,04/01/2023,2620,2700,2540
TINS,16/01/2023,1230,1270,1190
MLIA,17/01/2023,560,580,540
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
MLIA,17/01/2023,575,600,550
HRUM,17/01/2023,1730,1785,1675
